"Nomor,""Bab"",""Matan.""";;;;;;;;;;;;;
"1458,""Sholat Kusuf (Gerhana)"",""Manusia diuji dalam kubur mereka, seperti fitnah Dajjal'.Lalu Aisyah berkata";" 'Kami mendengar beliau meminta perlindungan dari siksa kubur setelah itu.'""";;;;;;;;;;;;
"1459,""Sholat Kusuf (Gerhana)"",""' kalian akan diuji dalam kubur, seperti fitnah Dajjal. Lalu Aisyah berkata";" 'Kami mendengar beliau memohon perlindungan dari siksa kubur setelah itu.'""";;;;;;;;;;;;
"1460,""Sholat Kusuf (Gerhana)"",""Shalat gerhana di beranda sumur Zamzam dengan empat kali ruku' dan empat kali sujud.""";;;;;;;;;;;;;
"1461,""Sholat Kusuf (Gerhana)"",""'Matahari dan bulan tidak terjadi karena kematian salah satu tokoh pembesar mereka! ' Namun sebenarnya gerhana tersebut merupakan dua tanda diantara tanda-tanda kebesaran Allah yang diperlihatkan kepada kalian. Jika terjadi gerhana maka shalatlah hingga terang kembali.""";;;;;;;;;;;;;
"1462,""Sholat Kusuf (Gerhana)"",""Lalu Rasulullah  mengerjakan shalat dua kali ruku' dan dua kali sujud dengan orang-orang. Kemudian beliau berdiri dan shalat dengan satu kali sujud. Lalu Aisyah berkata";" 'Aku belum pernah melakukan ruku' dan sujud yang lebih lama darinya'. Muhammad bin Humair menyelisihinya.""";;;;;;;;;;;;
"1463,""Sholat Kusuf (Gerhana)"",""Saat matahari mengalami gerhana, Rasulullah  shalat dua kali ruku' dan dua kali sujud, kemudian bangun lagi dan ruku' lagi dua kali serta sujud dua kali. Setelah itu matahari terang. Saat itu Aisyah berkata";" 'Rasulullah  belum pernah sujud dan ruku' yang lebih lama darinya.' Ali bin Al Mubarak menyelisihinya.""";;;;;;;;;;;;
"1464,""Sholat Kusuf (Gerhana)"",""beliau berwudlu lalu memerintahkan untuk menyeru, 'Ash-Shalatul Jami'ah'. Lalu beliau berdiri dan memperlama berdirinya saat shalat. Kemudian Aisyah berkata";" 'Aku memperkirakan beliau membaca surah Al-Baqarah, kemudian beliau ruku' dengan ruku' yang lama, lalu mengucapakan Sami' Allahu Liman Hamidah. Kemudian beliau berdiri seperti berdirinya semula tanpa sujud, lalu ruku' lagi dan sujud lagi. Kemudian berdiri dan berbuat seperti yang diperbuat pada dua ruku' dan satu kali sujud yang pertama. Lantas beliau duduk, sedangkan matahari telah terang.'""";;;;;;;;;;;;
"1465,""Sholat Kusuf (Gerhana)"",""Matahari dan bulan adalah dua tanda diantara tanda-tanda kebesaran Allah Azza wa Jalla. Jika kalian melihat salah satu gerhana tersebut, maka segeralah berdzikir kepada Allah Azza wa Jalla. Demi Dzat yang jiwa Muhammad berada ditangan-Nya, sungguh surga telah didekatkan kepadaku, hingga kalau aku mengulurkan tanganku maka aku pasti bisa menggapai sesuatu darinya. Sungguh, neraka telah didekatkan kepadaku hingga aku. menjadikannya tameng untuk menjaga darinya karena khawatir neraka itu akan menimpa kalian hingga aku melihat seorang perempuan dari Himyar sedang disiksa karena seekor kucing yang diikatnya, tanpa membiarkannya mencari makan sendiri dari serangga-serangga bumi. Tidak memberinya makan dan minum sampai mati. Aku melihat kucing itu menggigitnya jika ia menghadap ke depan, dan jika berpaling maka kucing itu menggigit pantatnya. Aku juga melihat seseorang yang mempunyai dua sandal Sibtiyah saudara Bani Du'du'- yang didorong dengan tongkat bercabang di dalam neraka. Aku juga melihat Shahibu Mihjan (pemilik tongkat) -dulu dia mencuri tongkat dari orang yang haji- sedang bertelekan tongkatnya di dalam neraka, sambil berkata";" 'Aku pencuri tongkat'.""";;;;;;;;;;;;
"1466,""Sholat Kusuf (Gerhana)"",""Matahari dan bulan adalah dua tanda diantara tanda-tanda kebesaran Allah Ta'ala. Keduanya tidak mengalami gerhana karena kematian atau kelahiran seseorang. Jika kalian melihat kedua gerhana tersebut, maka segeralah berdzikir kepada Allah Azza wa Jalla dan kerjakanlah shalat '.""";;;;;;;;;;;;;
"1467,""Sholat Kusuf (Gerhana)"",""memuji Allah, bersaksi bahwa tiada ilah yang berhak disembah selainNya dan bersaksi bahwa beliau utusanNya. (secara ringkas).""";;;;;;;;;;;;;
"1468,""Sholat Kusuf (Gerhana)"",""'Manusia beranggapan bahwa matahari dan bulan tidaklah mengalami gerhana kecuali karena kematian seorang pembesar, padahal bukanlah seperti itu. Matahari dan bulan tidak akan mengalami gerhana karena kematian seseorang atau kelahiran seseorang, tapi keduanya adalah dua tanda dari tanda-tanda kebesaran Allah Azza Wa Jalla. Allah Azza Wa Jalla apabila menampakkan sesuatu dari ciptaannya maka akan membuat takut kepada-NYA. Apabila kalian melihat yang demikian, maka shalatlah seperti shalat wajib yang kalian lakukan.'""";;;;;;;;;;;;;
"1469,""Sholat Kusuf (Gerhana)"",""Matahari dan bulan adalah dua tanda dari tanda-tanda kebesaran Allah keduanya tidak mengalami gerhana karena kematian seseorang atau kelahiran seseorang, apabila kalian melihat yang demikian, maka shalatlah seperti shalat wajib yang kalian lakukan.""";;;;;;;;;;;;;
"1470,""Sholat Kusuf (Gerhana)"","" Matahari dan bulan tidak mengalami gerhana karena kematian seseorang akan tetapi keduanya adalah dua tanda dari tanda-tanda kebesaran Allah. Allah Azza Wa Jalla berbuat sesuatu terhadap ciptaan-Nya sesuai dengan kehendak-NYA. Dan Dia apabila menampakkan sebagian dari ciptaan-NYA maka akan membuat takut kepada-NYA, mana saja di antara keduanya mengalami gerhana maka shalatlah kalian hingga terang kembali atau Allah memutuskan perkara.""";;;;;;;;;;;;;
"1471,""Sholat Kusuf (Gerhana)"",""Apabila matahari dan bulan mengalami gerhana maka shalatlah kalian sebagaimana shalat wajib yang kalian lakukan.""";;;;;;;;;;;;;
"1472,""Sholat Kusuf (Gerhana)"",""ketika terjadi gerhana matahari beliau shalat seperti shalat kami dengan ruku' dan sujud.""";;;;;;;;;;;;;
"1473,""Sholat Kusuf (Gerhana)"",""matahari dan bulan tidaklah mengalami gerhana kecuali karena kematian seorang pembesar dari penduduk bumi. Matahari dan bulan keduanya tidak mengalami gerhana karena kematian dan kelahiran seseorang akan tetapi keduanya adalah dua ciptaan-NYA dari beberapa ciptaan-NYA, Allah berbuat sesuatu terhadap ciptaan-NYA sesuai dengan kehendak-NYA. Mana saja di antara keduanya mengalami gerhana maka shalatlah kalian hingga terang kembali atau Allah memutuskan perkara.""";;;;;;;;;;;;;
"1474,""Sholat Kusuf (Gerhana)"",""Matahari dan bulan adalah dua tanda diantara tanda-tanda kebesaran Allah Ta'ala, yang dengan keduanya Allah memberikan rasa takut kepada hamba-hambaNya, Keduanya tidak mengalami gerhana karena kematian atau kelahiran seseorang. Jika kalian melihatnya, maka shalatlah hingga matahari nampak kembali olehmu'. Hal itu dijelaskan oleh Rasulullah, karena waktu itu putra beliau yang bernama Ibrahim meninggal dunia dan orang-orang mengatakan demikian kepada beliau.""";;;;;;;;;;;;;
"1475,""Sholat Kusuf (Gerhana)"",""shalat dua rakaat seperti shalat kalian ini... la juga menyebutkan gerhana matahari.""";;;;;;;;;;;;;
"1476,""Sholat Kusuf (Gerhana)"",""Matahari dan Bulan adalah dua tanda diantara tanda-tanda kebesaran Allah Ta'ala. Keduanya tidak mengalami gerhana karena kematian atau kelahiran seseorang. Jika kalian melihat gerhana tersebut, maka berdzikirlah kepada Allah Azza Wa Jalla.' Para sahabat berkata"; 'Wahai Rasulullah , kami melihat engkau menggapai sesuatu pada posisimu ini, kemudian kami melihatmu juga mundur? ' Beliau bersabda: 'Aku melihat surga -atau diperlihatkan kepadaku surga. Seandainya aku mengambil sesuatu dari surga, maka kamu pasti akan memakannya, lalu tak akan tersisa lagi dunia ini. Aku juga melihat neraka. Aku belum melihat pandangan yang lebih menakutkan dari ini dan aku melihat kebanyakan penghuninya adalah wanita.' Para sahabat berkata;" 'Wahai Rasulullah , kenapa bisa begitu? ' Beliau menjawab: 'Karena kekufuran mereka'. -Dalam riwayat lain: Karena mereka kufur kepada Allah? - Beliau meneruskan lagi: 'Mereka juga kufur terhadap kebaikan suami dan kufur terhadap kebaikan. Seandainya kamu berbuat baik kepada salah seorang dari mereka (wanita) sepanjang masa, Lalu dia melihat suatu (keburukan) pada dirimu', Maka dia akan berkata: 'Aku tidak melihat suatu kebaikanpun pada dirimu! '""";;;;;;;;;;;
"1477,""Sholat Kusuf (Gerhana)"",""shalat (gerhana) dengan empat kali ruku' dan empat kali sujud. Beliau juga mengeraskan bacaannya. Tiap kali beliau mengangkat kepalanya, beliau mengucapkan: 'Sami'allahu Liman Hamidah, Rabbana Wa Lakal Hamdu (Allah mendengar siapa yang memuji-Nya, wahai Tuhan kami, segala puji untuk-Mu) '.""";;;;;;;;;;;;;
"1478,""Sholat Kusuf (Gerhana)"",""shalat bersama mereka ketika terjadi gerhana matahari dan kami tidak mendengar suaranya.""";;;;;;;;;;;;;
"1479,""Sholat Kusuf (Gerhana)"",""Wahai Rabbku, ini jangan terjadi sedangkan kami masih memohon ampun kepada-Mu! Janganlah hal ini terjadi di saat aku masih berada di tengah-tengah mereka! ' Setelah selesai shalat beliau bersabda: 'Surga diperlihatkan kepadaku, hingga kalau tanganku dijulurkan maka aku pasti bisa memetik sesuatu darinya. Neraka juga telah diperlihatkan kepadaku, maka aku meniupnya karena khawatir panasnya akan menimpa kalian. Di dalamnya aku melihat seorang pencuri dua unta betina Rasulullah  dan melihat saudaranya Bani Du'du', orang yang mencuri orang yang haji, dan jika ia ditanya tentang curiannya maka ia berkata";" Ini perbuatan tongkat . Aku juga melihat seorang perempuan yang tinggi dan hitam, yang disiksa karena seekor kucing yang diikatnya, tanpa memberinya makan dan minum, serta tidak membiarkannya mencari makan sendiri dari serangga-serangga bumi, sehingga akhirnya kucing itu mati'. Beliau bersabda: `Matahari dan bulan tidak mengalami gerhana karena kematian atau kelahiran seseorang. Jika kalian melihat salah satunya - atau beliau berkata: Salah satunya mengalami gerhana maka segeralah berdzikir kepada Allah Azza wa Jalla '.""";;;;;;;;;;;;
"1480,""Sholat Kusuf (Gerhana)"",""Matahari dan bulan tidak mengalami gerhana karena kematian atau kelahiran seseorang, tetapi keduanya adalah tanda diantara tanda-tanda kebesaran Allah. Jadi mana saja dari keduanya mengalami gerhana, maka segeralah mengingat Allah Azza wa Jalla dengan shalat.""";;;;;;;;;;;;;
"1481,""Sholat Kusuf (Gerhana)"",""berdiri dan memperlama berdirinya kemudian ruku' dan memperlama ruku'nya. Kemudian bangkit lagi dan memperlama berdirinya. Kemudian ruku' dan memperlama ruku'nya. lalu mengangkat (kepalanya dari ruku') dan sujud dalam waktu yang lama, kemudian mengangkat kepalanya dari sujud, dan sujud lagi dengan sujud yang lama juga. Kemudian beliau berdiri dan memperlama berdirinya, kemudian ruku' dan memperlama ruku'nya. Lalu bangkit lagi dan memperlama berdirinya. Kemudian ruku' dan memperlama ruku'nya, lalu mengangkat (kepalanya dari ruku') dan sujud dalam waktu yang lama, kemudian mengangkat kepalanya dari sujud. Kemudian sujud lagi dengan sujud yang lama juga, lalu mengangkatnya, kemudian selesai (salam).""";;;;;;;;;;;;;
"1482,""Sholat Kusuf (Gerhana)"",""Manusia diuji dalam kubur mereka, seperti fitnah Dajjal '. (secara ringkas).""";;;;;;;;;;;;;
"1483,""Sholat Kusuf (Gerhana)"",""Matahari dan bulan tidak mengalami gerhana karena kematian atau kelahiran seseorang. Jika kalian melihat kedua gerhana tersebut, maka shalatlah, bersedakahlah dan berdzikirlah kepada Allah'. Kemudian beliau melanjutkan sabdanya: `Wahai umat Muhammad! Tidak ada seorangpun yang lebih cemburu dari Allah Azza wa Jalla bila ada hamba-Nya yang berzina atau ada hamba perempuan-Nya yang berzina. Wahai umat Muhammad! Demi Allah, seandainya kalian mengetahui apa yang aku ketahui, maka kalian pasti akan sedikit tertawa dan banyak menangis '.""";;;;;;;;;;;;;
"1484,""Sholat Kusuf (Gerhana)"",""berkhutbah ketika terjadi gerhana matahari dengan mengucapkan: 'Amma Ba'du'.""";;;;;;;;;;;;;
"1485,""Sholat Kusuf (Gerhana)"",""Matahari dan bulan tidak mengalami gerhana karena kematian atau kelahiran seseorang, tetapi keduanya merupakan tanda diantara tanda-tanda kebesaran Allah untuk menakut-nakuti hamba-Nya. Jika kalian melihat kedua gerhana tersebut, maka shalatlah dan berdoalah hingga gerhana tersingkap dari kalian (nampak kembali).""";;;;;;;;;;;;;
"1486,""Sholat Kusuf (Gerhana)"",""Ini adalah tanda-tanda kebesaran Allah yang Dia kirimkan bukan karena kematian ataupun kelahiran seseorang, telapi Allah mengirimnya untuk menakut-nakuti hamba-Nya. Jika kalian melihatnya, maka segeralah berdzikir dan berdoa serta meminta ampunan kepada-Nya.""";;;;;;;;;;;;;
"1487,""Istisqo (Meminta Hujan)"","" Ya Allah, turunkan hujan itu di atas puncak gunung, bukit, di tengah-tengah lembah, serta di tempat tumbuhnya pepohonan'. Maka awan pun menjauh dari Madinah bagaikan lepasnya baju (dari badan).""";;;;;;;;;;;;;
"1488,""Istisqo (Meminta Hujan)"",""suatu hari keluar menuju tempat shalat untuk meminta hujan. Beliau menghadap kiblat dan membalik selendangnya, lalu shalat dua rakaat. Abu Abdurrahman berkata";" Ini kesalahan dari Ibnu Uyainah, Abdullah bin Zaid yang mimpi tentang adzan- adalah Abdullah bin Zaid bin Abdu Rabbih, sedangkan ini adalah Abdullah bin Zaid bin Ashim.""";;;;;;;;;;;;
"1489,""Istisqo (Meminta Hujan)"",""Rasulullah Shalallahu 'Alaihi Wa Sallam keluar dengan merendahkan diri, tawadlu, serta berpakaian sederhana. Beliau tidak berkhutbah seperti kalian. Lalu beliau shalat dua rakaat'.""";;;;;;;;;;;;;
"1490,""Istisqo (Meminta Hujan)"",""memohon hujan, dan beliau mengenakan pakaian hitam.""";;;;;;;;;;;;;
"1491,""Istisqo (Meminta Hujan)"",""Rasulullah Shalallahu 'Alaihi Wa Sallam keluar dengan berpakaian sederhana dan tawadlu, serta merendahkan diri. Lalu beliau duduk di atas mimbar dan tidak berkhutbah seperti kalian, namun beliau senantiasa berdoa dan merendahkan diri serta bertakbir. Kemudian shalat dua rakaat sebagaimana beliau shalat pada dua hari raya'.""";;;;;;;;;;;;;
"1492,""Istisqo (Meminta Hujan)"",""memohon hujan. Beliau memindahkan posisi selendangnya dan membalik punggungnya (membelakangi) manusia. Kemudian berdoa dan shalat dua rakaat. Beliau membaca (ayat Al Qur'an) dengan suara yang keras.""";;;;;;;;;;;;;
"1493,""Istisqo (Meminta Hujan)"",""meminta hujan, Beliau shalat dua raka'at serta membalik selendangnya.""";;;;;;;;;;;;;
"1494,""Istisqo (Meminta Hujan)"",""meminta hujan dan merubah posisi selendangnya saat menghadap kiblat.""";;;;;;;;;;;;;
"1495,""Istisqo (Meminta Hujan)"",""menghadap kiblat saat meminta hujan dan membalik selendangnya, serta mengangkat kedua tangannya.""";;;;;;;;;;;;;
"1496,""Istisqo (Meminta Hujan)"",""tidak mengangkat kedua tangannya sedikitpun saat berdoa, kecuali saat meminta hujan. Beliau  mengangkat kedua tangannya hingga nampak ketiaknya yang putih.""";;;;;;;;;;;;;
"1497,""Istisqo (Meminta Hujan)"",""sedang meminta hujan. Beliau berdo? dengan mengangkat telapak tangannya.""";;;;;;;;;;;;;
"1498,""Istisqo (Meminta Hujan)"",""Ya Alllah, turunkan hujan kepada kami'. Demi Allah, sebelum Rasulullah  sempat turun dari mimbarnya, kami sudah diguyur hujan. Kami diberi hujan pada hari itu sampai Jum'at berikutnya. Lalu ada orang lelaki, -aku tidak tahu apakah dia yang telah berkata kepada Rasulullah  'Berilah kami hujan' atau bukan- berkata"; 'Wahai Rasulullah, jalan-jalan telah terputus dan harta benda telah hancur karena melimpahnya air, maka berdoalah kepada Allah agar Dia menahan air itu dari kami'. Lalu Rasulullah  berdoa: 'Ya Allah (turunkanlah hujan) di sekitar kami dan jangan atas kami, tetapi di gunung-gunung dan di tempat-tempat tumbuhnya pepohonan'. Anas berkata;" Demi Allah, tidaklah Rasulullah  mengatakan demikian kecuali awan itu telah berpencar hingga kami tidak melihatnya sedikitpun.""";;;;;;;;;;;
"1499,""Istisqo (Meminta Hujan)"",""Ya Allah turunkanlah hujan kepada kami.""";;;;;;;;;;;;;
"1500,""Istisqo (Meminta Hujan)"",""`Ya Allah, berilah kami hujan. Ya Allah, berilah kami hujan'. Anas berkata"; Demi Allah, kami tidak melihat setitik awan pun di langit. Dia melanjutkan lagi, Lalu awan muncul dan bertebaran, kemudian menurunkan hujan. Setelah itu Rasulullah turun dari mimbar, kemudian shalat. Manusia pun bubar, sedangkan hujan belum reda sampai dengan Jum'at berikutnya. Ketika Rasulullah  berdiri untuk khutbah, orang-orang berteriak kepadanya dengan berkata;" 'Wahai Nabi Allah, rumah-rumah telah hancur dan jalan-jalan telah terputus, maka berdoalah agar Dia menahan hujan dari kami'. Rasulullah  tersenyum, lalu berdoa: `Ya Allah (berilah hujan) di sekitar kami dan jangan di atas kami'. Maka terhentilah hujan itu di Madinah, dan hujan hanya turun di sekitarnya. Di Madinah tidak turun setetes pun, aku melihat Madinah laksana di kelilingi awan.""";;;;;;;;;;;
"1501,""Istisqo (Meminta Hujan)"",""Ya Allah (turunkan hujan) di sekitar kami dan jangan di atas kami. Ya Allah, turunkan di bukit-bukit, gunung-gunung, lubuk lembah, serta di tempat tumbuhnya pepohonan'. Maka awan pun lenyap, lalu kami keluar dan berjalan di bawah teriknya matahari. Syarik berkata"; Aku bertanya kepada Anas;" `Apakah dia lelaki yang pertama tadi? ' la menjawab, 'Bukan'.""";;;;;;;;;;;
"1502,""Istisqo (Meminta Hujan)"",""meminta hujan, lalu beliau membalik punggungnya (membelakangi manusia) dan berdoa sambil menghadap kiblat. Beliau juga membalik selendangnya, kemudian shalat dua rakaat. Ibnu Abu Dzi'ib berkata";" 'Dan membaca surat dalam dua rakaat tersebut.'""";;;;;;;;;;;;
"1503,""Istisqo (Meminta Hujan)"",""shalat Istisqa', lalu shalat dua rakaat dan menghadap kiblat.""";;;;;;;;;;;;;
"1504,""Istisqo (Meminta Hujan)"",""Rasulullah Shalallahu 'Alaihi Wa Sallam keluar dengan tawadhu', berpakaian sederhana, khusyu', dan merendahkan diri. Lalu shalat dua rakaat sebagaimana shalat dua hari raya, dan beliau tidak berkhutbah seperti khutbah kalian ini'.""";;;;;;;;;;;;;
"1505,""Istisqo (Meminta Hujan)"",""Rasulullah Shalallahu 'Alaihi Wa Sallam pernah keluar untuk memohon hujan, maka beliau shalat dua rakaat dan membaca (ayat Al Qur'an) dengan suara yang keras pada dua rakaat tersebut.""";;;;;;;;;;;;;
"1506,""Istisqo (Meminta Hujan)"",""Ya, Allah jadikanlah hujan ini bermanfaat.""";;;;;;;;;;;;;
"1507,""Istisqo (Meminta Hujan)"",""Tidaklah Aku menganugerahkan suatu nikmat kepada hamba-hambaku melainkan sebagian mereka ada yang kufur, mereka berkata";" Ini terjadi dengan sebab bintang-bintang!""";;;;;;;;;;;;
"1508,""Istisqo (Meminta Hujan)"",""Tidaklah Aku menganugerahkan suatu nikmat kepada hamba-hamba-Ku melainkan sebagian mereka ada yang kufur dengan nikmat tersebut, mereka berkata"; `Kami diberi hujan dengan sebab bintang ini dan itu. Sedangkan orang yang beriman kepada-Ku, ia memuji-Ku karena air yang Aku turunkan, maka itulah orang yang beriman kepada-Ku dan kufur terhadap bintang-bintang. Sedangkan orang yang berkata;" 'Kami diberi hujan dengan sebab bintang ini dan itu' adalah orang yang kufur kepada-Ku dan beriman kepada bintang-bintang'.""";;;;;;;;;;;
"1509,""Istisqo (Meminta Hujan)"",""Seandainya Allah menahan hujan kepada para hambanya selama lima tahun, kemudian mengirimkannya, maka pasti sebagian manusia akan kafir sambil mengatakan";" 'kami diberi hujan karena bintang Mijdah.' Ket. Bintang Mijdah: Nama sebuah bintang yang dikenal oleh kalangan orang-orang sebagai lambang turunnya hujan.""";;;;;;;;;;;;
"1510,""Istisqo (Meminta Hujan)"",""`Ya Allah (turunkanlah hujan) disekitar kami dan jangan di atas kami'. Lalu awan atau hujan itu menjauh dari Madinah.""";;;;;;;;;;;;;
"1511,""Istisqo (Meminta Hujan)"",""Ya Allah (turunkanlah hujan) di sekitar kami dan jangan di atas kami'. Tidaklah Rasulullah  mengisyaratkan dengan tangannya ke sudut awan itu, melainkan awan itu berpencar sehingga Madinah menjadi cerah laksana kota yang dikelilingi suatu lingkaran. Lembah-lembah telah mengalir airnya dan tak ada orang yang datang ke Madinah dari arah mana saja melainkan ia akan menceritakan tentang hujan yang telah turun dengan sangat lebat.""";;;;;;;;;;;;;
"1512,""Sholat Khouf (Dalam Kondisi Takut)"",""Rasulullah Shalallahu 'Alaihi Wa Sallam mengerjakan shalat Khauf bersama suatu kelompok satu rakaat dengan satu shaf jamaah di belakangnya, dan kelompok yang lain berhadapan dengan musuh. Lalu beliau shalat dengan kelompok lainnya (yang tadi berhadapan dengan musuh) satu rakaat juga. Kemudian mereka (yang shalat bersama beliau) mundur dan menuju kelompok yang tadinya berhadapan dengan musuh, lalu kelompok tadi datang kemudian shalat bersama Rasulullah Shalallahu 'Alaihi Wa Sallam satu rakaat.""";;;;;;;;;;;;;
"1513,""Sholat Khouf (Dalam Kondisi Takut)"",""berbaris menjadi dua baris di belakangnya. Satu baris di belakangnya dan yang satu lagi berhadapan dengan musuh. Dia mengerjakan shalat satu rakaat dengan barisan yang berada di belakangnya, kemudian mereka (yang di belakangnya) pergi menuju barisan yang berhadapan dengan musuh, dan mereka datang kepadanya lalu shalat satu rakaat, dan mereka tidak mengqadhanya'. Telah mengabarkan kepada kami 'Amru bin Ali dia berkata"; telah menceritakan kepada kami Yahya dia berkata; Telah menceritakan kepada kami Sufyan dia berkata;" Telah menceritakan kepadaku Ar Rukain bin Rabi' dari Al Qasim bin Hasan dari Zaid bin Tsabit dari Nabi Shalallahu 'Alaihi Wa Sallam, sebagaimana shalatnya Hudzaifah.'""";;;;;;;;;;
"1514,""Sholat Khouf (Dalam Kondisi Takut)"",""Allah telah mewajibkan shalat lewat lisan Nabi kalian Shalallahu 'Alaihi Wa Sallam, dalam keadaan bermukim empat rakaat, dalam perjalanan dua rakaat, dan dalam keadaan khauf/takut (perang) satu rakaat.""";;;;;;;;;;;;;
"1515,""Sholat Khouf (Dalam Kondisi Takut)"",""shalat di Dzi Qarad, beliau membuat dua barisan di belakangnya: satu shaf (barisan) shalat di belakangnya dan yang satu shaf (barisan) lagi berhadapan dengan musuh beliau lalu shalat satu rakaat dengan barisan yang di belakangnya, kemudian barisan yang te! ah shalat pergi menuju tempat yang berhadapan dengan musuh. Dan barisan yang tadinya berhadapan dengan musuh) datang dan Rasulullah shalat dengan mereka satu rakaat, mereka tidak menggadlanya.""";;;;;;;;;;;;;
"1516,""Sholat Khouf (Dalam Kondisi Takut)"",""Rasulullah Shalallahu 'Alaihi Wa Sallam berdiri dan orang-orang ikut berdiri bersamanya. Beliau lalu bertakbir dan mereka pun ikut bertakbir bersamanya. Lalu beliau ruku', dan sebagian ikut ruku'. Kemudian beliau sujud, dan (sebagian) juga ikut sujud. Kemudian beliau berdiri ke rakaat yang kedua, dan orang-orang yang ikut sujud tadi mundur lalu menjaga saudara-saudara mereka yang sedang shalat. Setelah itu datang barisan yang lain, mereka segera ruku' dan sujud bersama Nabi Shalallahu 'Alaihi Wa Sallam. Semuanya mengerjakan shalat bersama-sama";" mereka bertakbir, namun sebagian mereka menjaga sebagian yang lain.""";;;;;;;;;;;;
"1517,""Sholat Khouf (Dalam Kondisi Takut)"",""Shalat Khauf itu dua kali sujud, seperti shalatnya penjaga-penjaga kalian pada hari ini, di belakang pemimpin-pemimpin mereka, tetapi mereka melakukannya secara bergantian";" semuanya berdiri bersama Rasulullah , sebagian dari mereka ikut sujud bersamanya (dan sebagian yang lain tetap berdiri), kemudian Rasulullah  berdiri dan mereka semuanya ikut berdiri bersamanya. Tatkala beliau ruku', mereka semuanya ikut ruku'. Jika beliau sujud, maka sebagian yang berdiri tadi ikut sujud bersama beliau. Setelah Rasulullah Shalallahu 'Alaihi Wa Sallam duduk bersama orang yang sujud bersamanya di akhir shalat, maka orang-orang yang berdiri tadi sujud lalu mereka duduk. Kemudian mereka semua mengucapkan salam bersama Rasulullah Shalallahu 'Alaihi Wa Sallam secara bersama-sama.""";;;;;;;;;;;;
"1518,""Sholat Khouf (Dalam Kondisi Takut)"",""mengerjakan shalat Khauf bersama para sahabatnya. Beliau membuat satu barisan di belakangnya dan satu barisan lagi berhadapan dengan musuh. Beliau shalat dengan mereka satu rakaat, lalu mereka pergi. Kemudian mereka (yang tadinya berhadapan dengan musuh) datang, dan shalat bersama Rasulullah  Kemudian mereka berdiri dan menyempurnakan satu rakaat satu rakaat.""";;;;;;;;;;;;;
"1519,""Sholat Khouf (Dalam Kondisi Takut)"",""bahwa ada sekelompok orang yang berbaris bersamanya, dan kelompok lain berhadapan dengan musuh. Rasulullah shalat satu rakaat bersama orang-orang yang bersamanya, kemudian tetap berdiri, sedangkan mereka menyempurnakan shalatnya sendirian. Lalu mereka pergi dan berbaris berhadapan dengan musuh. Kemudian datang kelompok lainnya, lalu Rasulullah  mengerjakan sisa shalatnya bersama mereka (yang tadinya berhadapan dengan musuh), kemudian beliau tetap saja duduk sedangkan mereka menyempurnakan shalatnya sendirian. Setelah itu Rasulullah mengucapkan salam bersama mereka.""";;;;;;;;;;;;;
"1520,""Sholat Khouf (Dalam Kondisi Takut)"",""shalat satu rakaat dengan salah satu dari dua kelompok, sedangkan kelompok yang lain berhadapan dengan musuh. Kemudian kelompok yang shalat bersama Rasulullah pergi menuju posisi kelompok yang berhadapan dengan musuh, lalu mereka (yang berhadapan dengan musuh) menuju Rasulullah. Beliau shalat untuk rakaat selanjutnya bersama mereka, kemudian salam. Setelah itu mereka berdiri untuk menyempurnakan rakaatnya. Mereka (yang berhadapan dengan musuh) juga menyempurnakan rakaatnya.""";;;;;;;;;;;;;
"1521,""Sholat Khouf (Dalam Kondisi Takut)"",""beliau shalat bersama kami. Sebagian dari kami berdiri bersamanya dan sebagian yang lain menghadap ke arah musuh. Kemudian beliau Shalallahu 'Alaihi Wa Sallam ruku' satu kali, dan ikut ruku' pula orang yang bersamanya, lalu beliau sujud dua kali, kemudian mereka pergi menuju kelompok yang belum shalat. Setelah itu datanglah kelompok yang belum shalat, lalu Rasulullah ruku' satu kali dan sujud dua kali bersama mereka. Kemudian beliau mengucapkan salam, dan berdirilah semua kaum muslimin dan semuanya ruku' satu kali dan sujud dua kali sendiri-sendiri.""";;;;;;;;;;;;;
"1522,""Sholat Khouf (Dalam Kondisi Takut)"",""Beliau bertakbir dan sekelompok orang dari kami membuat barisan di belakangnya sedangkan kelompok yang lain menghadap ke arah musuh. Kemudian beliau ruku' satu kali dan sujud dua kali bersama mereka, lalu mereka (yang baru shalat) pergi untuk menghadapi musuh. Lalu datang kelompok (yang menghadap ke musuh) dan shalat satu rakaat dengan dua kali sujud bersama Rasulullah Shalallahu 'Alaihi Wa Sallam, kemudian salam. Setelah itu kedua kelompok itu berdiri dan mereka semua mengerjakan (menyempurnakan) shalat sendiri-sendiri dengan satu kali ruku' dan dua kali sujud.""";;;;;;;;;;;;;
